Datetime,Date,Time,Station,Gate
2018-10-15 06:50:16,2018-10-15,06:50:16,LKS,G04
2018-10-15 06:50:42,2018-10-15,06:50:42,COM,G12
2018-10-15 06:51:20,2018-10-15,06:51:20,TIB,G02
2018-10-15 06:51:35,2018-10-15,06:51:35,CCK,G14
2018-10-15 06:51:36,2018-10-15,06:51:36,BDK,G03
2018-10-15 06:51:38,2018-10-15,06:51:38,BGB,G07
2018-10-15 06:51:54,2018-10-15,06:51:54,CLE,G04
2018-10-15 06:52:07,2018-10-15,06:52:07,BBT,G08
2018-10-15 06:52:11,2018-10-15,06:52:11,JUR,G07
2018-10-15 06:52:20,2018-10-15,06:52:20,SBW,G02
2018-10-15 06:52:22,2018-10-15,06:52:22,SBW,G03
2018-10-15 06:52:24,2018-10-15,06:52:24,TIB,G10
2018-10-15 06:52:27,2018-10-15,06:52:27,JUR,G08
2018-10-15 06:52:28,2018-10-15,06:52:28,CCK,G14
2018-10-15 06:52:28,2018-10-15,06:52:28,KEM,G08
2018-10-15 06:52:33,2018-10-15,06:52:33,TNM,G01
2018-10-15 06:52:33,2018-10-15,06:52:33,CCK,G17
2018-10-15 06:52:49,2018-10-15,06:52:49,TNM,G08
2018-10-15 06:52:51,2018-10-15,06:52:51,MSL,G02
2018-10-15 06:52:52,2018-10-15,06:52:52,WDL,G07
2018-10-15 06:53:03,2018-10-15,06:53:03,RFP,G01
2018-10-15 06:53:05,2018-10-15,06:53:05,AMK,G11
2018-10-15 06:53:15,2018-10-15,06:53:15,BNL,G14
2018-10-15 06:53:19,2018-10-15,06:53:19,BDK,G03
2018-10-15 06:53:32,2018-10-15,06:53:32,BNL,G21
2018-10-15 06:53:37,2018-10-15,06:53:37,TAM,G09
2018-10-15 06:53:44,2018-10-15,06:53:44,ADM,G06
2018-10-15 06:53:46,2018-10-15,06:53:46,WDL,G12
2018-10-15 06:53:48,2018-10-15,06:53:48,LKS,G04
2018-10-15 06:53:52,2018-10-15,06:53:52,RFP,G31
2018-10-15 06:54:37,2018-10-15,06:54:37,TNM,G06
2018-10-15 06:54:44,2018-10-15,06:54:44,ADM,G02
2018-10-15 06:54:45,2018-10-15,06:54:45,CCK,G01
2018-10-15 06:55:02,2018-10-15,06:55:02,RFP,G28
2018-10-15 06:55:23,2018-10-15,06:55:23,JUR,G10
2018-10-15 06:55:32,2018-10-15,06:55:32,CLE,G04
2018-10-15 06:55:33,2018-10-15,06:55:33,MSP,G02
2018-10-15 06:55:46,2018-10-15,06:55:46,YWT,G01
2018-10-15 06:55:46,2018-10-15,06:55:46,CCK,G16
2018-10-15 06:55:55,2018-10-15,06:55:55,ADM,G04
2018-10-15 06:56:02,2018-10-15,06:56:02,TAM,G12
2018-10-15 06:56:12,2018-10-15,06:56:12,SBW,G04
2018-10-15 06:56:21,2018-10-15,06:56:21,SBW,G05
2018-10-15 06:56:23,2018-10-15,06:56:23,BDK,G03
2018-10-15 06:56:32,2018-10-15,06:56:32,PSR,G06
2018-10-15 06:56:36,2018-10-15,06:56:36,MSL,G07
2018-10-15 06:56:47,2018-10-15,06:56:47,MSL,G07
2018-10-15 06:56:49,2018-10-15,06:56:49,AMK,G14
2018-10-15 06:56:54,2018-10-15,06:56:54,AMK,G03
2018-10-15 06:56:54,2018-10-15,06:56:54,CLE,G20
2018-10-15 06:57:00,2018-10-15,06:57:00,MSL,G08
2018-10-15 06:57:13,2018-10-15,06:57:13,BFT,G04
2018-10-15 06:57:36,2018-10-15,06:57:36,JUR,G20
2018-10-15 06:57:37,2018-10-15,06:57:37,MSL,G07
2018-10-15 06:57:47,2018-10-15,06:57:47,KRJ,G09
2018-10-15 06:57:56,2018-10-15,06:57:56,TNM,G08
2018-10-15 06:58:02,2018-10-15,06:58:02,KRJ,G11
2018-10-15 06:58:12,2018-10-15,06:58:12,MSL,G03
2018-10-15 06:58:16,2018-10-15,06:58:16,TAP,G09
2018-10-15 06:58:17,2018-10-15,06:58:17,NEW,G01
2018-10-15 06:58:22,2018-10-15,06:58:22,BGB,G04
2018-10-15 06:58:23,2018-10-15,06:58:23,MSL,G03
